ID,X(m),Y(m)
1,349570.11,3046465.68
2,348045.55,3037497.51
3,350063.39,3046530.22
4,339970.33,3045770.40
5,345966.09,3037788.28
6,340034.85,3044816.33
7,345223.62,3038777.68
8,348624.39,3037557.52
9,347764.90,3036966.69
10,347229.92,3036023.24
11,339386.48,3046517.00
12,344875.56,3039242.10
13,339823.29,3045312.73
14,354471.91,3039871.29
15,339439.01,3047704.12
16,344956.80,3050241.71
17,354569.26,3041052.29
18,348360.80,3048080.51
19,340491.85,3044636.01
20,344661.00,3050648.99
21,340354.27,3045896.41
22,345430.81,3037738.32
23,353532.73,3042758.57
24,348555.08,3048536.63
25,346302.57,3037308.53
26,347651.35,3036013.01
27,352583.10,3044446.12
28,348997.00,3037072.28
29,354293.43,3040716.68
30,342080.48,3042463.49
31,350933.19,3046238.86
32,339658.54,3046855.40
33,354620.99,3040298.58
34,339292.24,3047286.12
35,349014.57,3035534.65
36,344885.08,3052030.24
37,350545.80,3036809.73
38,347017.50,3035617.30
39,345042.47,3038255.99
40,338899.45,3045111.19
41,340883.53,3046325.77
42,341178.58,3046610.78
43,351399.17,3045989.31
44,354067.64,3042764.87
45,339213.00,3045413.81
46,353794.01,3040736.53
47,341600.18,3042412.68
48,347191.89,3036966.78
49,343065.10,3050303.61
50,350750.97,3037358.26
51,344851.19,3040271.60
52,345165.81,3039797.34
53,349599.07,3037195.23
54,347151.77,3051773.10
55,354791.09,3042162.93
56,343331.77,3049915.41
57,350467.62,3046032.15
58,352674.00,3043938.05
59,340162.01,3046831.01
60,347934.64,3036465.55
61,351329.12,3037432.81
62,346450.35,3035070.80
63,349974.44,3036726.76
64,353902.61,3039786.78
65,339997.31,3047799.86
66,347540.96,3051965.02
67,351395.16,3038979.22
68,346611.15,3050477.35
69,340354.02,3047357.49
70,348833.37,3036492.70
71,351172.43,3038445.60
72,351539.67,3037974.10
73,353313.74,3042211.60
74,339474.45,3046094.90
75,347459.84,3052499.30
76,355547.03,3042245.08
77,338363.16,3045325.02
78,341095.68,3045437.75
79,353463.27,3041211.99
80,341910.45,3046024.94
