ID,X(m),Y(m)
1,346578.74,3034573.19
2,348768.38,3035026.51
3,355049.90,3039980.55
4,356001.02,3042004.25
5,347331.45,3052996.91
6,345141.81,3052543.59
7,338860.29,3047589.55
8,337909.17,3045565.84
9,347308.62,3034724.30
10,348038.50,3034875.40
11,349553.57,3035645.77
12,350338.76,3036265.02
13,351123.95,3036884.28
14,351909.14,3037503.53
15,352694.33,3038122.79
16,353479.52,3038742.04
17,354264.71,3039361.30
18,355366.94,3040655.12
19,355683.98,3041329.69
20,355381.77,3042789.44
21,354762.51,3043574.63
22,354143.25,3044359.82
23,353524.00,3045145.01
24,352904.74,3045930.20
25,352285.49,3046715.39
26,351666.23,3047500.58
27,351046.98,3048285.77
28,350427.72,3049070.96
29,349808.47,3049856.15
30,349189.21,3050641.34
31,348569.96,3051426.53
32,347950.70,3052211.72
33,346601.57,3052845.80
34,345871.69,3052694.70
35,344356.62,3051924.33
36,343571.43,3051305.08
37,342786.24,3050685.82
38,342001.05,3050066.57
39,341215.86,3049447.31
40,340430.67,3048828.06
41,339645.48,3048208.80
42,338543.25,3046914.98
43,338226.21,3046240.41
44,338528.42,3044780.66
45,339147.68,3043995.47
46,339766.94,3043210.28
47,340386.19,3042425.09
48,341005.45,3041639.90
49,341624.70,3040854.71
50,342243.96,3040069.52
51,342863.21,3039284.33
52,343482.47,3038499.14
53,344101.72,3037713.95
54,344720.98,3036928.76
55,345340.23,3036143.57
56,345959.49,3035358.38
57,351915.12,3045786.51
58,341913.64,3041878.93
59,349477.27,3048958.15
60,344544.19,3038663.86
61,351755.59,3038508.14
62,342075.14,3049126.47
63,353765.88,3043339.28
64,344379.93,3051053.48
65,349409.87,3036635.39
66,340103.78,3044199.32
67,350705.51,3047379.67
68,353342.00,3039727.03
69,348263.37,3050562.57
70,345709.22,3037110.84
71,340535.21,3047876.78
72,343173.60,3040172.03
73,346359.72,3052152.52
74,354928.64,3041278.85
75,347518.60,3035553.43
76,338995.08,3046298.81
77,354101.13,3040272.01
78,353213.68,3040702.72
79,352421.45,3040109.48
80,352308.33,3041098.07
81,351502.91,3040505.98
82,351393.55,3041499.14
83,350586.77,3040907.03
84,350477.18,3041901.06
85,349670.86,3041309.21
86,349561.37,3042303.18
87,348755.22,3041711.44
88,348645.81,3042705.40
89,347839.68,3042113.70
90,347730.28,3043107.66
91,346924.16,3042515.98
92,346814.78,3043509.97
93,347620.79,3044101.77
94,346705.35,3044503.99
95,345899.25,3043912.26
96,345789.88,3044906.26
97,347949.06,3041119.71
98,346595.96,3045497.98
99,345680.50,3045900.26
100,344874.37,3045308.54
101,346486.64,3046491.98
102,345571.13,3046894.26
103,349780.37,3040315.02
